id,english,german
0,Hmm.. ,Hm..
1,how would this be used?,wie würde dies genutzt werden?
2,what would this sound like?,wie würde sich das anhören?
3,could this be…,könnte das … sein?
4,press LEFT and RIGHT rapidly to loosen the cork!,"Drücke schnell LINKS und RECHTS, um den Korken zu lösen!"
5,Imagination,Fantasie
6,Loosen cork,Korken lösen
7,Incorrect,Falsch
8,Correct,Richtig
9,Progress,Fortschritt
10,Legend of the Lunchbox,Die Legende der Brotdose
11,Start,Starten
12,Settings,Einstellungen
13,Credits,Nachspann
14,Manual,Hilfe
15,Back,Zurück
16,Enable background sound,Hintergrundgeräusche aktivieren
17,Enable in-trial feedback,Feedback aktivieren
18,Settings,Einstellungen
19,Credits,Nachspann
20,MUAHAHAHA,SO
21,"You must be the famous ""envisioner""",Sie müssen der berühmte „Ausmaler“ sein
22,Are you really that good at imagining what things sound and look like just using your mind?,"Kannst du wirklich so gut ausmalen wie Dinge klingen und aussehen, nur mit Denken?"
23,Let's put that to the test,Testen wir das mal
24,That's a nice lunchbox you have there,Das ist eine schöne Brotdose
25,As you can see I have the ability to turn anything into stardust,"Schau, ich kann alles in Sternenstaub verwandeln."
26,"In fact, I already turned most of the things in this world to stardust",Ich habe sogar die meisten Dinge auf dieser Welt in Sternenstaub verwandelt.
27,Evil Wizard,böser Zauberer
28,"Only a true ""envisioner"" will be able to turn these object back to what they used to be","Nur ein echter „ausmaler“ kann diese Objekte wieder zu dem zu machen, was sie einmal waren."
29,So let's see if you can thwart my plans,"Sehen wir mal, ob du mich aufhalten kannst"
30,MUAHAHAHA,MUAHAHAHA
